page_type,시도,시군구,읍면동,리,지역표시명,source_html,confidence,is_valid,validation_note
region,강원특별자치도,,,,강원특별자치도,C:\Users\user\Documents\GitHub\studynavi\강원과외\index.html,high,true,정상
region,강원특별자치도,강릉시,,,강릉시,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\index.html,high,true,정상
region,강원특별자치도,강릉시,강릉시교동,,강릉시교동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,강릉시수학,,강릉시수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시수학과외\index.html,high,true,정상
region,강원특별자치도,강릉시,강릉시영어,,강릉시영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시영어과외\index.html,high,true,정상
region,강원특별자치도,강릉시,노암동,,노암동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강원노암동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,용강동,,용강동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강원용강동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,옥천동,,옥천동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\옥천동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,입암동,,입암동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\입암동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,지변동,,지변동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\지변동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,초당동,,초당동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\초당동과외\index.html,high,true,정상
region,강원특별자치도,강릉시,포남동,,포남동,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\포남동과외\index.html,high,true,정상
region,강원특별자치도,강원고등,,,강원고등,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원고등과외\index.html,high,true,정상
region,강원특별자치도,강원수학,,,강원수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원수학과외\index.html,high,true,정상
region,강원특별자치도,강원수학,강원고등수학,,강원고등수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원수학과외\강원고등수학과외\index.html,high,true,정상
region,강원특별자치도,강원수학,강원중등수학,,강원중등수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원수학과외\강원중등수학과외\index.html,high,true,정상
region,강원특별자치도,강원수학,강원초등수학,,강원초등수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원수학과외\강원초등수학과외\index.html,high,true,정상
region,강원특별자치도,강원영어,,,강원영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원영어과외\index.html,high,true,정상
region,강원특별자치도,강원영어,강원고등영어,,강원고등영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원영어과외\강원고등영어과외\index.html,high,true,정상
region,강원특별자치도,강원영어,강원중등영어,,강원중등영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원영어과외\강원중등영어과외\index.html,high,true,정상
region,강원특별자치도,강원영어,강원초등영어,,강원초등영어,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원영어과외\강원초등영어과외\index.html,high,true,정상
region,강원특별자치도,강원중등,,,강원중등,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원중등과외\index.html,high,true,정상
region,강원특별자치도,강원초등,,,강원초등,C:\Users\user\Documents\GitHub\studynavi\강원과외\강원초등과외\index.html,high,true,정상
region,강원특별자치도,동해시,,,동해시,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\index.html,high,true,정상
region,강원특별자치도,동해시,부곡동,,부곡동,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\강원부곡동과외\index.html,high,true,정상
region,강원특별자치도,동해시,용정동,,용정동,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\강원용정동과외\index.html,high,true,정상
region,강원특별자치도,동해시,천곡동,,천곡동,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\강원천곡동과외\index.html,high,true,정상
region,강원특별자치도,동해시,단봉동,,단봉동,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\단봉동과외\index.html,high,true,정상
region,강원특별자치도,동해시,동해시수학,,동해시수학,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\동해시수학과외\index.html,high,true,정상
