page_type,시도,시군구,읍면동,리,학교명,학교급,대상,source_html,confidence,is_valid,validation_note
school,강원특별자치도,강릉시,강릉시교동,,강릉명륜고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\강릉명륜고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,강릉시교동,,강릉제일고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\강릉제일고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,강릉시교동,,강일여자고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\강일여자고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,강릉시교동,,관동중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\관동중과외\index.html,high,true,정상
school,강원특별자치도,강릉시,강릉시교동,,솔올중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\솔올중과외\index.html,high,true,정상
school,강원특별자치도,강릉시,강릉시교동,,율곡중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강릉시교동과외\율곡중과외\index.html,high,true,정상
school,강원특별자치도,강릉시,노암동,,경포중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강원노암동과외\경포중과외\index.html,high,true,정상
school,강원특별자치도,강릉시,용강동,,강릉해람중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\강원용강동과외\강릉해람중과외\index.html,high,true,정상
school,강원특별자치도,강릉시,옥천동,,강릉여자고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\옥천동과외\강릉여자고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,입암동,,강릉중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\입암동과외\강릉중과외\index.html,high,true,정상
school,강원특별자치도,강릉시,입암동,,강릉중앙고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\입암동과외\강릉중앙고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,지변동,,강릉문성고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\지변동과외\강릉문성고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,초당동,,강릉고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\초당동과외\강릉고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,포남동,,경포고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\포남동과외\경포고과외\index.html,high,true,정상
school,강원특별자치도,강릉시,포남동,,동명중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\포남동과외\동명중과외\index.html,high,true,정상
school,강원특별자치도,동해시,부곡동,,묵호고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\강원부곡동과외\묵호고과외\index.html,high,true,정상
school,강원특별자치도,동해시,용정동,,북평중학교,중학교,중학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\강원용정동과외\북평중과외\index.html,high,true,정상
school,강원특별자치도,동해시,천곡동,,동해삼육고등학교,고등학교,고등학생,C:\Users\user\Documents\GitHub\studynavi\강원과외\동해시과외\강원천곡동과외\동해삼육고과외\index.html,high,true,정상
