combination_id,page_scope,학년표현,과목표현,내신사용,키워드패턴,제목사용,본문사용,description사용,활성화,가중치,비고
combo_001,region,,,false,{지역명}과외,true,true,true,true,1,base
combo_002,region,,영어,false,{지역명}{과목}과외,true,true,true,true,1,subject_only
combo_003,region,,수학,false,{지역명}{과목}과외,true,true,true,true,1,subject_only
combo_004,region,,과학,false,{지역명}{과목}과외,true,true,true,true,1,subject_only
combo_005,region,,국어,false,{지역명}{과목}과외,true,true,true,true,1,subject_only
combo_006,region,,영수,false,{지역명}{과목}과외,true,true,true,true,1,subject_only
combo_007,region,초등,,false,{지역명}{학년}과외,true,true,true,true,1,grade_only
combo_008,region,초등학생,,false,{지역명}{학년}과외,true,true,true,true,1,grade_only
combo_009,region,중등,,false,{지역명}{학년}과외,true,true,true,true,1,grade_only
combo_010,region,중학생,,false,{지역명}{학년}과외,true,true,true,true,1,grade_only
combo_011,region,고등,,false,{지역명}{학년}과외,true,true,true,true,1,grade_only
combo_012,region,고등학생,,false,{지역명}{학년}과외,true,true,true,true,1,grade_only
combo_013,region,초등,영어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_014,region,초등,수학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_015,region,초등,과학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_016,region,초등,국어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_017,region,초등,영수,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_018,region,초등학생,영어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_019,region,초등학생,수학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_020,region,초등학생,과학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_021,region,초등학생,국어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_022,region,초등학생,영수,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_023,region,중등,영어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_024,region,중등,수학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_025,region,중등,과학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_026,region,중등,국어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_027,region,중등,영수,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_028,region,중학생,영어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_029,region,중학생,수학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_030,region,중학생,과학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_031,region,중학생,국어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_032,region,중학생,영수,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_033,region,고등,영어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_034,region,고등,수학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_035,region,고등,과학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_036,region,고등,국어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_037,region,고등,영수,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_038,region,고등학생,영어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_039,region,고등학생,수학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_040,region,고등학생,과학,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_041,region,고등학생,국어,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_042,region,고등학생,영수,false,{지역명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_043,region,,,true,{지역명}내신과외,true,true,true,true,1,exam_only
combo_044,region,,영어,true,{지역명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_045,region,,수학,true,{지역명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_046,region,,과학,true,{지역명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_047,region,,국어,true,{지역명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_048,region,,영수,true,{지역명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_049,region,중등,,true,{지역명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_050,region,중학생,,true,{지역명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_051,region,고등,,true,{지역명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_052,region,고등학생,,true,{지역명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_053,region,중등,영어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_054,region,중등,수학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_055,region,중등,과학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_056,region,중등,국어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_057,region,중등,영수,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_058,region,중학생,영어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_059,region,중학생,수학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_060,region,중학생,과학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_061,region,중학생,국어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_062,region,중학생,영수,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_063,region,고등,영어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_064,region,고등,수학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_065,region,고등,과학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_066,region,고등,국어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_067,region,고등,영수,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_068,region,고등학생,영어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_069,region,고등학생,수학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_070,region,고등학생,과학,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_071,region,고등학생,국어,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_072,region,고등학생,영수,true,{지역명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_073,school,,,false,{학교명}과외,true,true,true,true,1,base
combo_074,school,,영어,false,{학교명}{과목}과외,true,true,true,true,1,subject_only
combo_075,school,,수학,false,{학교명}{과목}과외,true,true,true,true,1,subject_only
combo_076,school,,과학,false,{학교명}{과목}과외,true,true,true,true,1,subject_only
combo_077,school,,국어,false,{학교명}{과목}과외,true,true,true,true,1,subject_only
combo_078,school,,영수,false,{학교명}{과목}과외,true,true,true,true,1,subject_only
combo_079,school,초등,,false,{학교명}{학년}과외,true,true,true,true,1,grade_only
combo_080,school,초등학생,,false,{학교명}{학년}과외,true,true,true,true,1,grade_only
combo_081,school,중등,,false,{학교명}{학년}과외,true,true,true,true,1,grade_only
combo_082,school,중학생,,false,{학교명}{학년}과외,true,true,true,true,1,grade_only
combo_083,school,고등,,false,{학교명}{학년}과외,true,true,true,true,1,grade_only
combo_084,school,고등학생,,false,{학교명}{학년}과외,true,true,true,true,1,grade_only
combo_085,school,초등,영어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_086,school,초등,수학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_087,school,초등,과학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_088,school,초등,국어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_089,school,초등,영수,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_090,school,초등학생,영어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_091,school,초등학생,수학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_092,school,초등학생,과학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_093,school,초등학생,국어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_094,school,초등학생,영수,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_095,school,중등,영어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_096,school,중등,수학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_097,school,중등,과학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_098,school,중등,국어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_099,school,중등,영수,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_100,school,중학생,영어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_101,school,중학생,수학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_102,school,중학생,과학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_103,school,중학생,국어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_104,school,중학생,영수,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_105,school,고등,영어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_106,school,고등,수학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_107,school,고등,과학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_108,school,고등,국어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_109,school,고등,영수,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_110,school,고등학생,영어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_111,school,고등학생,수학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_112,school,고등학생,과학,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_113,school,고등학생,국어,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_114,school,고등학생,영수,false,{학교명}{학년}{과목}과외,true,true,true,true,1,grade_subject
combo_115,school,,,true,{학교명}내신과외,true,true,true,true,1,exam_only
combo_116,school,,영어,true,{학교명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_117,school,,수학,true,{학교명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_118,school,,과학,true,{학교명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_119,school,,국어,true,{학교명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_120,school,,영수,true,{학교명}{과목}내신과외,true,true,true,true,1,subject_exam
combo_121,school,중등,,true,{학교명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_122,school,중학생,,true,{학교명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_123,school,고등,,true,{학교명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_124,school,고등학생,,true,{학교명}{학년}내신과외,true,true,true,true,1,grade_exam
combo_125,school,중등,영어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_126,school,중등,수학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_127,school,중등,과학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_128,school,중등,국어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_129,school,중등,영수,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_130,school,중학생,영어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_131,school,중학생,수학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_132,school,중학생,과학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_133,school,중학생,국어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_134,school,중학생,영수,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_135,school,고등,영어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_136,school,고등,수학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_137,school,고등,과학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_138,school,고등,국어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_139,school,고등,영수,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_140,school,고등학생,영어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_141,school,고등학생,수학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_142,school,고등학생,과학,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_143,school,고등학생,국어,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
combo_144,school,고등학생,영수,true,{학교명}{학년}{과목}내신과외,true,true,true,true,1,grade_subject_exam
