page_type,시도,시군구,읍면동,리,지역명,학교명,학교급,대상,과목,메인키워드,슬러그,제목,설명,본문,source_html
region,강원특별자치도,정선군,신동,,신동,,,초등학생,수학과외,신동 초등학생 수학과외,신동초등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\강원과외\정선군과외\강원신동과외\index.html
region,경기도,안산시,장상동,,장상동,,,초등학생,영어과외,장상동 초등학생 영어과외,장상동초등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경기과외\안산시과외\장상동과외\index.html
region,경상남도,창원시,반지동,,반지동,,,고등학생,영어과외,반지동 고등학생 영어과외,반지동고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경남과외\창원시과외\반지동과외\index.html
region,경상북도,문경시,흥덕동,,흥덕동,,,초등학생,영어과외,흥덕동 초등학생 영어과외,흥덕동초등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경북과외\문경시과외\흥덕동과외\index.html
region,광주광역시,광산구,서봉동,,서봉동,,,고등학생,국영수과외,서봉동 고등학생 국영수과외,서봉동고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\광주과외\광산구과외\서봉동과외\index.html
region,대구광역시,달서구,월성동,,월성동,,,고등학생,영어과외,월성동 고등학생 영어과외,월성동고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\대구과외\달서구과외\월성동과외\index.html
region,대전광역시,서구,,,서구,,,고등학생,영어과외,서구 고등학생 영어과외,서구고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\대전과외\서구과외\index.html
region,부산광역시,연제구,,,연제구,,,중학생,영어과외,연제구 중학생 영어과외,연제구중학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\부산과외\연제구과외\index.html
region,서울특별시,중구,신당동,,신당동,,,고등학생,영어과외,신당동 고등학생 영어과외,신당동고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\서울과외\중구과외\서울신당동과외\index.html
region,세종특별자치시,,,,세종특별자치시,,,초등학생,국영수과외,세종특별자치시 초등학생 국영수과외,세종특별자치시초등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\세종과외\index.html
region,울산광역시,중구,성안동,,성안동,,,중학생,국영수과외,성안동 중학생 국영수과외,성안동중학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\울산과외\중구과외\성안동과외\index.html
region,인천광역시,계양구,,,계양구,,,고등학생,영어과외,계양구 고등학생 영어과외,계양구고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\인천과외\계양구과외\index.html
region,전라남도,여수시,여서동,,여서동,,,고등학생,수학과외,여서동 고등학생 수학과외,여서동고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전남과외\여수시과외\여서동과외\index.html
region,전북특별자치도,군산시,수송동,,수송동,,,초등학생,영어과외,수송동 초등학생 영어과외,수송동초등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\전북과외\군산시과외\수송동과외\index.html
region,제주특별자치도,제주시,용담삼동,,용담삼동,,,초등학생,수학과외,용담삼동 초등학생 수학과외,용담삼동초등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\제주과외\제주시과외\용담삼동과외\index.html
region,충청남도,논산시,청동,,청동,,,고등학생,수학과외,청동 고등학생 수학과외,청동고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\충남과외\논산시과외\청동과외\index.html
region,충청북도,단양군,단양군평동,,단양군평동,,,초등학생,국영수과외,단양군평동 초등학생 국영수과외,단양군평동초등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\충북과외\단양군과외\단양군평동과외\index.html
region,강원특별자치도,태백시,황지동,,황지동,,,고등학생,수학과외,황지동 고등학생 수학과외,황지동고등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\강원과외\태백시과외\황지동과외\index.html
region,경기도,용인시,상현동,,상현동,,,초등학생,국영수과외,상현동 초등학생 국영수과외,상현동초등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경기과외\용인시과외\상현동과외\index.html
region,경상남도,창원시,신촌동,,신촌동,,,고등학생,영어과외,신촌동 고등학생 영어과외,신촌동고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경남과외\창원시과외\신촌동과외\index.html
region,경상북도,김천시,교동,,교동,,,초등학생,국영수과외,교동 초등학생 국영수과외,교동초등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\경북과외\김천시과외\경북교동과외\index.html
region,광주광역시,광산구,운수동,,운수동,,,초등학생,국영수과외,운수동 초등학생 국영수과외,운수동초등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\광주과외\광산구과외\운수동과외\index.html
region,대구광역시,동구,신서동,,신서동,,,고등학생,국영수과외,신서동 고등학생 국영수과외,신서동고등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\대구과외\동구과외\신서동과외\index.html
region,대전광역시,유성구,,,유성구,,,중학생,국영수과외,유성구 중학생 국영수과외,유성구중학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\대전과외\유성구과외\index.html
region,부산광역시,강서구,,,강서구,,,고등학생,영어과외,강서구 고등학생 영어과외,강서구고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\부산과외\강서구과외\index.html
region,서울특별시,용산구,보광동,,보광동,,,중학생,수학과외,보광동 중학생 수학과외,보광동중학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\서울과외\용산구과외\보광동과외\index.html
region,세종특별자치시,세종시,도담동,,도담동,,,고등학생,영어과외,도담동 고등학생 영어과외,도담동고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\세종과외\세종시과외\도담동과외\index.html
region,울산광역시,중구,유곡동,,유곡동,,,중학생,국영수과외,유곡동 중학생 국영수과외,유곡동중학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\울산과외\중구과외\유곡동과외\index.html
region,인천광역시,서구,신현동,,신현동,,,초등학생,국영수과외,신현동 초등학생 국영수과외,신현동초등학생국영수과외,,,,C:\Users\user\Documents\GitHub\studynavi\인천과외\서구과외\인천신현동과외\index.html
region,전라남도,나주시,,,나주시,,,중학생,수학과외,나주시 중학생 수학과외,나주시중학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\전남과외\나주시과외\index.html
region,전북특별자치도,완주군,,,완주군,,,고등학생,영어과외,완주군 고등학생 영어과외,완주군고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\전북과외\완주군과외\index.html
region,제주특별자치도,제주시,아라일동,,아라일동,,,초등학생,수학과외,아라일동 초등학생 수학과외,아라일동초등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\제주과외\제주시과외\아라일동과외\index.html
region,충청남도,보령시,동대동,,동대동,,,중학생,수학과외,동대동 중학생 수학과외,동대동중학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\충남과외\보령시과외\동대동과외\index.html
region,충청북도,청주시,봉명동,,봉명동,,,초등학생,영어과외,봉명동 초등학생 영어과외,봉명동초등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\충북과외\청주시과외\충북봉명동과외\index.html
region,강원특별자치도,강릉시,옥천동,,옥천동,,,중학생,영어과외,옥천동 중학생 영어과외,옥천동중학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\강원과외\강릉시과외\옥천동과외\index.html
region,경기도,파주시,야동동,,야동동,,,고등학생,영어과외,야동동 고등학생 영어과외,야동동고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\경기과외\파주시과외\야동동과외\index.html
region,경상남도,창원시,해운동,,해운동,,,중학생,수학과외,해운동 중학생 수학과외,해운동중학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\경남과외\창원시과외\해운동과외\index.html
region,경상북도,포항시,우현동,,우현동,,,초등학생,수학과외,우현동 초등학생 수학과외,우현동초등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\경북과외\포항시과외\우현동과외\index.html
region,광주광역시,북구,용두동,,용두동,,,초등학생,수학과외,용두동 초등학생 수학과외,용두동초등학생수학과외,,,,C:\Users\user\Documents\GitHub\studynavi\광주과외\북구과외\광주용두동과외\index.html
region,대구광역시,수성구,,,수성구,,,고등학생,영어과외,수성구 고등학생 영어과외,수성구고등학생영어과외,,,,C:\Users\user\Documents\GitHub\studynavi\대구과외\수성구과외\index.html
